ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
1441|Inacom Corp.|October|1998-11-10|1999-07-23|$300.00|PAID|||1999-08-19|
1442|Nebraska Furniture Mart|April|1999-05-10|1999-07-22|$300.00|REDUCED|$0.00|1999-08-10||
1443|Nebraska Wine & Spirits, Inc.|February|1999-03-10|1999-07-21|$300.00|REDUCED|$0.00|1999-08-10||
1444|Larry Price & Associates, Inc.|February|1999-03-10|1999-07-19|$300.00|REDUCED|$0.00|1999-08-10||
1445|Sinclair Hille & Associates|January|1999-05-10|1999-07-20|$300.00|REDUCED|$0.00|1999-08-10||
1446|Utilicorp United|March|1999-04-12|1999-07-22|$300.00|PAID|||1999-08-30|
1447|Kelley, Lehan & Hall, PC|January|1999-05-10|1999-05-11|$10.00|PAID|||1999-07-07|
1448|RDG Schutte Wilscam Birge|January|1999-06-10|1999-07-29|$300.00|PAID|||1999-07-29|
1449|A -R Advertising|November|1998-12-10|1999-08-03|$300.00|REDUCED|$0.00|1999-08-23||
1450|Associoated General Contractors|March|1999-04-12|1999-08-04|$300.00|REDUCED|$0.00|1999-08-23||
1451|United Forwarding|August|1998-09-10|1999-08-12|$300.00|REDUCED|$0.00|1999-08-23||
1452|Anderson Motors, Inc.|January|1999-02-10|1999-08-13|$300.00|REDUCED|$0.00|1999-08-26||
1453|IBP|January|1999-02-10|1999-08-09|$300.00|REDUCED|$0.00|1999-08-26||
1454|Sand Livestock Systems|February|1999-03-10|1999-08-09|$300.00|PAID|||1999-08-26|
1455|Blackman Business Systems|September|1998-10-10|1999-09-02|$300.00|RED/PAID|$10.00|1999-09-29|1999-09-28|
1456|GWR Financial, Inc.|December|1999-01-10|1999-09-03|$300.00|REDUCED|$0.00|1999-09-23||
1457|Lincoln Association of Plumbing, Heating & Cooling Contractors|April|1999-05-10|1999-08-31|$300.00|REDUCED|$0.00|1999-09-23||
1458|Zaiss & Company|November|1998-12-10|1999-09-02|$300.00|RED/PAID|$10.00|1999-09-29|1999-09-28|
1460|Fay Air|October|1998-11-10|1999-09-10|$300.00|PAID|||1999-09-28|
1461|BryanLGH Medical Center|August|1999-09-10|1999-09-17|$175.00|REDUCED|$0.00|1999-09-24||
1462|R.C. Krueger Development, Inc.|August|1999-09-10|1999-09-16|$150.00|RED/PAID|$20.00|1999-09-24||
1463|Osborn, T.J. Construction, Inc.|August|1999-09-10|1999-09-16|$150.00|RED/PAID|$25.00|1999-09-29|1999-09-28|
1464|Piedmont Construction Company, Inc.|August|1999-09-10|1999-09-15|$125.00|REDUCED|$0.00|1999-09-24||
1465|Ridge Development Company|August|1999-09-10|1999-09-17|$175.00|PAID|||1999-10-07|
1466|DCM|October|1998-11-10|1999-09-13|$300.00|REDUCED|$0.00|1999-12-15||
1467|Floors, Inc.|August|1999-09-10|1999-09-14|$100.00|REDUCED|$0.00|1999-09-29||
1468|Green Furnace & Plumbing Company, Inc.|August|1999-09-10|1999-09-15|$125.00|RED/PAID|$25.00|1999-10-01|1999-10-01|
1469|INSPRO, Inc.|August|1999-09-10|1999-09-15|$125.00|REDUCED|$0.00|1999-09-29||
1470|Professional Business Products, Inc.|August|1999-09-10|1999-09-16|$150.00|REDUCED|$0.00|1999-11-03||
1471|Evans, Lipka & Associates, Inc.|March|1999-04-12|1999-09-20|$300.00|REDUCED|$0.00|1999-10-04||
1473|IBP, Inc.|October|1998-11-10|1999-09-13|$300.00|PAID|||1999-09-13|
1474|Omaha Police Union Local 101|January|1999-10-10|1999-10-29|$425.00|PAID|||1999-11-24|
1478|DuTeau Chevrolet Company|September|1999-10-12|1999-10-15|$75.00|PAID|||2000-01-11|
1481|Kirkpatrick, Pettis, Smith & Polian, Inc.|October|1998-11-10|1999-10-14|$300.00|PAID|||1999-10-14|
1485|The Benefit Group|April|1998-05-10|1999-11-18|$300.00|PAID|||1999-12-22|
1486|Weathercraft Company of Lincoln|October|1999-11-10|1999-11-24|$350.00|REDUCED|$0.00|1999-12-15||
1488|Cornhusker Bank|September|1999-10-11|1999-11-23|$750.00|PAID|||1999-12-27|
1489|Chief Industries, Inc.|December|1998-01-10|1999-08-23|$300.00|REDUCED|$0.00|1999-12-16||
1490|Kawasaki Motors Manufacturing Corporation, USA|September|1999-10-11|1999-11-30|$750.00|REDUCED|$0.00|2000-01-10||
1492|United Airlines|October|1999-11-10|1999-11-29|$475.00|REDUCED|$0.00|1999-12-17||
1494|Saint Elizabeth Regional Medical Center|September|1999-10-11|1999-11-29|$750.00|REDUCED|$0.00|1999-12-17||
1495|Journal Star Printing Company|October|1999-11-10|1999-11-24|$350.00|PAID|||2000-01-13|
1496|Union Bank & Trust Company|October|1999-11-10|1999-11-18|$200.00|PAID|||2000-01-13|
1497|Lincoln Benefit Life Company|October|1999-11-10|2000-01-03|$750.00|PAID|||2000-01-03|
1498|Park Place Pontiac, Cadillac, GMC, Inc.|November|1999-12-10|1999-12-27|$425.00|REDUCED|$0.00|2000-02-23||
1499|First National Bank of Scottsbluff|October|1999-11-10|2000-01-06|$750.00|REDUCED|$0.00|2000-01-19||
1501|Twin Cities Development Association|September|1999-10-12|2000-01-04|$750.00|RED/PAID|$25.00|2000-02-23|2000-02-23|
1503|U.S. Bank National Association|October|1999-11-10|2000-01-06|$750.00|REDUCED|$0.00|2000-01-19||
1504|Valley Bank & Trust Company|January|1999-08-10|2000-01-12|$300.00|REDUCED|$0.00|2000-02-08||
1505|Cox Communications|December|2000-01-10|2000-01-12|$50.00|REDUCED|$0.00|2000-11-08||
1506|Sykes Enterprises, Inc.|October|1999-11-10|2000-01-20|$750.00|REDUCED|$0.00|2000-02-08||
1507|Orcom Solutions, Inc.|November|1999-12-10|2000-01-21|$750.00|REDUCED|$0.00|2000-02-08||
1508|Lincoln Surgical Group|January|1999-08-10|2000-01-21|$300.00|REDUCED|$0.00|2000-02-08||
1509|Jenny Foundation|March|1999-04-10|2000-01-28|$300.00|RED/PAID|$10.00|2000-02-16|2000-02-16|
1510|Van Steenberg Law Firm|September|1999-10-10|2000-01-27|$750.00|REDUCED|$0.00|2000-02-11||
1512|Miller Brewing Company|December|2000-01-10|2000-01-31|$525.00|REDUCED|$0.00|2000-02-23||
1513|Lueder Construction Company|December|2000-01-10|2000-02-01|$550.00|RED/PAID|$25.00|2000-03-14|2000-03-14|
1514|Clawson Associates, P.C.|April|1999-05-10|2000-02-07|$300.00|REDUCED|$0.00|2000-02-23||
1515|Clawson Associates, P.C.|June|1999-07-10|2000-02-10|$300.00|REDUCED|$0.00|2000-02-23||
1517|Dave Janke Plumbing Co., Inc.|January|1999-10-10|2000-02-16|$750.00|REDUCED|$0.00|2000-03-08||
1518|Cubby's, Inc.|April|1999-05-10|2000-02-24|$300.00|RED/PAID|$25.00|2000-03-07|2000-03-07|
1519|Darland Corporation|March|1999-04-10|2000-02-23|$300.00|REDUCED|$0.00|2000-03-02||
1520|Cizek Homes|April|1999-05-10|2000-02-22|$300.00|REDUCED|$0.00|2000-03-02||
1521|Leo A. Daly Company|April|1999-05-10|2000-02-25|$300.00|REDUCED|$0.00|2000-03-02||
1522|Valmont Industries, Inc.|April|1999-05-10|2000-02-24|$300.00|PAID|||2000-05-26|
1523|Vann Realty Company|April|1999-05-10|2000-02-22|$300.00|RED/PAID|$25.00|2000-03-07|2000-03-07|
1524|Vann Realty Company|August|1999-09-10|2000-02-22|$750.00|RED/PAID|$25.00|2000-03-07|2000-03-07|
1525|BHI Investment Company|April|1999-05-10|2000-02-25|$300.00|REDUCED|$0.00|2000-03-02||
1526|MidAmerican Energy Holdings Company|October|2000-11-10|2000-02-03|$750.00|REDUCED|$0.00|2000-03-10||
1527|Modern Equipment Company|June|1999-07-10|2000-02-27|$300.00|REDUCED|$0.00|2000-03-15||
1528|Simmonds Restaurant Management, Inc.|May|1999-05-10|2000-03-03|$300.00|REDUCED|$0.00|2000-03-15||
1529|First Commerce Bancshares, Inc.|October|1999-11-10|2000-03-16|$750.00|PAID|||2000-03-16|
1530|Utilicorp United|June|1999-07-10|2000-02-28|$300.00|PAID|||2000-04-24|
1531|PSI Group, Inc.|April|1999-05-10|2000-03-06|$300.00|REDUCED|$0.00|2000-03-20||
1532|PFP Marketing Company|December|2000-01-10|2000-03-06|$750.00|REDUCED|$0.00|2000-03-20||
1533|Mid-Beatrice Development, Inc.|September|1999-10-10|2000-03-09|$750.00|REDUCED|$0.00|2000-03-20||
1534|MCI WorldCom, Inc.|November|1999-12-10|2000-03-09|$750.00|REDUCED|$0.00|2000-03-20||
1535|Kraft Foods, Inc.|November|1999-12-10|2000-03-08|$750.00|REDUCED|$0.00|2000-03-20||
1536|Kraft Foods, Inc.|December|2000-01-10|2000-03-08|$750.00|REDUCED|$0.00|2000-03-20||
1537|Hoich Enterprises, Inc.|April|1999-05-10|2000-03-08|$300.00|REDUCED|$0.00|2000-03-20||
1538|Wilkinson Development, Inc.|February|2000-03-10|2000-03-17|$175.00|REDUCED|$0.00|2000-03-27||
1539|Tenaska|February|2000-03-10|2000-03-16|$150.00|PAID|||2000-03-31|
1540|S S F Resources|February|2000-03-10|2000-03-13|$75.00|REDUCED|$0.00|2000-04-05||
1542|Complete Eye Care Associates|February|2000-03-10|2000-03-13|$75.00|REDUCED|$0.00|2000-04-05||
1543|Mega Corporation, The|December|1999-01-10|2000-03-14|$300.00|RED/PAID|$10.00|2000-04-05|2000-04-03|
1544|Utilicorp United|October|1999-11-10|2000-03-20|$750.00|PAID|||2000-04-24|
1545|Liberty Title & Escrow, Inc.|November|1999-12-10|2000-03-22|$750.00|REDUCED|$0.00|2000-04-19||
1546|Mundy & Associates, Inc.|October|1999-09-10|2000-04-05|$750.00|PAID|$25.00|2000-05-02|2000-05-01|
1547|American Title Services, Inc.|November|1999-12-10|2000-04-07|$750.00|REDUCED|$0.00|2000-04-25||
1548|United Airlines|November|1998-12-10|2000-03-29|$300.00|RED/PAID|$10.00|2000-05-15|2000-05-15|
1549|PennField oil Company|January|1999-02-10|2000-03-29|$300.00|PAID|||2000-06-19|
1553|Lease Team, Inc.|March|2000-04-10|2000-04-13|$75.00|REDUCED|$0.00|2000-05-11||
1554|North Platte Chamber of Commerce|February|2000-03-10|2000-04-10|$750.00|PAID||2000-04-25|2000-08-17|
1555|Simpson Supply, Inc.|December|1999-01-10|2000-04-14|$300.00|REDUCED|$0.00|2000-04-25||
1556|Swartzbaugh, Farber & Associates|March|2000-04-10|2000-04-14|$100.00|REDUCED|$0.00|2000-05-11||
1557|Terry McGill, Inc.|March|2000-04-10|2000-04-13|$75.00|REDUCED|$0.00|2000-05-11||
1558|Central States Health & Life|March|2000-04-10|2000-04-18|$200.00|REDUCED|$0.00|2000-05-25||
1559|Home Instead|February|2000-03-10|2000-04-18|$750.00|REDUCED|$0.00|2000-05-25||
1561|Kirkpatrick Pettis|March|2000-04-10|2000-04-19|$225.00|PAID|||2000-06-01|
1562|Millard Lumber, Inc.|March|2000-04-10|2000-04-19|$225.00|REDUCED|$0.00|2000-05-09||
1563|World of Wheels|March|2000-04-10|2000-04-19|$225.00|REDUCED|$0.00|2000-05-25||
1564|Great Plains Communications|August|1999-09-10|2000-04-25|$750.00|PAID|||2000-05-18|
1565|American Communications Group, Inc.|August|1999-09-10|2000-04-25|$750.00|PAID|||2000-05-12|
1566|Archer Daniels Midland Company|July|1999-08-10|2000-05-09|$300.00|PAID|||2000-05-09|
1567|Millard Drywall Services|March|2000-04-10|2000-05-05|$625.00|REDUCED|$0.00|2000-05-23||
1568|Trotter, Inc.|February|2000-03-10|2000-05-10|$750.00|REDUCED|$0.00|2000-05-23||
1569|Omaha Police Union Local 101|January|2000-04-10|2000-05-08|$700.00|RED/PAID|$200.00||2000-08-17|
1570|U.S Bank National Association - Scottsbluff|April|2000-05-10|2000-05-15|$125.00|RED/PAID|$25.00|2000-06-26|2000-06-26|
1571|McGrath, North, Mullin Law Firm|April|2000-05-10|2000-05-17|$175.00|PAID|||2000-05-31|
1572|HDM Corporation|April|2000-05-10|2000-05-18|$200.00|REDUCED|$0.00|2000-05-25||
1574|Allstate Insurance Company|June|1998-07-10|2000-06-09|$300.00|REDUCED|$0.00|2000-06-26||
1576|The Day Companies, Inc.|April|2000-05-10|2000-06-15|$750.00|RED/PAID|$25.00|2000-06-29|2000-06-29|
1577|The Day Companies, Inc.|January|2000-02-10|2000-06-15|$750.00|REDUCED|$0.00|2000-06-29||
1578|The Day Companies, Inc.|March|2000-04-10|2000-06-15|$750.00|REDUCED|$0.00|2000-06-29||
1579|The Day Companies, Inc.|February|2000-03-10|2000-06-15|$750.00|REDUCED|$0.00|2000-06-29||
1580|Francis J. Cavlovic, D.D.S., PC|April|2000-05-10|2000-05-22|$300.00|REDUCED|$0.00|2000-06-07||
1581|Election Systems & Software|March|2000-04-10|2000-06-07|$750.00|REDUCED|$0.00|2000-06-19||
1582|Progress West Corporation|April|2000-05-10|2000-05-23|$325.00|REDUCED|$0.00|2000-06-19||
1583|Werner Enterprises, Inc.|February|2000-03-10|2000-05-23|$750.00|REDUCED|$0.00|2000-06-22||
1584|Werner Enterprises, Inc.|April|2000-05-10|2000-05-23|$325.00|PAID|||2000-06-22|
1585|U Save Foods|April|2000-05-10|2000-05-22|$300.00|REDUCED|$0.00|2000-06-22||
1586|Nebco, Inc.|March|2000-04-10|2000-05-31|$750.00|RED/PAID|$25.00|2000-06-28|2000-06-28|
1587|FPS Leadership Team|March|2000-06-12|2000-06-14|$50.00|REDUCED|$0.00|2000-07-10||
1588|First Nebraska Title and Escrow Company|May|2000-06-12|2000-06-26|$350.00|REDUCED|$0.00|2000-07-10||
1589|Trans/Mid-America, Inc.|January|2000-02-10|2000-06-22|$750.00|REDUCED|$0.00|2000-07-10||
1590|Grand Island Area Economic Development Corp.|May|2000-06-12|2000-07-07|$625.00|PAID|||2000-08-17|
1591|Greater Omaha Chamber of Commerce|May|2000-06-12|2000-06-28|$400.00|PAID|||2000-08-01|
1592|Johnson Controls, Inc.|April|2000-05-10|2000-07-17|$750.00|PAID|||2000-07-17|
1593|Erickson & Sederstrom, PC|May|2000-06-12|2000-07-10|$700.00|REDUCED|$0.00|2000-07-24||
1594|AAA Rents Incorporated|May|2000-06-12|2000-07-13|$750.00|REDUCED|$0.00|2000-07-24||
1595|Journal Broadcast Group, Inc.|March|2000-04-10|2000-07-14|$750.00|RED/PAID|$25.00|2000-07-28|2000-07-28|
1596|Metabolife International, Inc.|October|1999-11-10|2000-07-13|$750.00|PAID|||2002-05-20|
1597|Lawless Distributing Group|May|2000-06-12|2000-07-12|$750.00|REDUCED|$0.00|2000-08-28||
1598|Bahr, Vermeer, Haecker Atchitects|June|2000-07-10|2000-07-18|$200.00|REDUCED|$0.00|2000-07-31||
1599|Highway Motels of Nebraska Inc|June|2000-07-10|2000-08-02|$575.00|REDUCED|$0.00|2000-08-21||
1600|Aesthetic & Reconstructive Surgery, P.C.|June|2000-07-10|2000-08-11|$750.00|REDUCED|$0.00|2000-08-30||
1601|Hearthstone Home|April|2000-05-10|2000-08-11|$750.00|REDUCED|$0.00|2000-08-21||
1602|Hearthstone Home|November|1998-12-10|2000-08-11|$300.00|REDUCED|$0.00|2000-08-21||
1603|Hearthstone Home|March|1998-04-10|2000-08-11|$300.00|REDUCED|$0.00|2000-08-21||
1604|Fremont Education Association|May|2000-06-10|2000-08-15|$750.00|REDUCED|$0.00|2000-08-23||
1605|united|January|2000-02-10|2000-06-18|$750.00|REDUCED|$0.00|2000-08-23||
1606|North Central Anesthesia Services, LLC|July|2000-08-10|2000-08-18|$200.00|REDUCED|$0.00|2000-08-23||
1607|United Parcel Service Inc|May|2000-06-10|2000-08-23|$750.00|PAID|||2001-02-20|
1609|Steve Erdei Sales|April|2000-05-10|2000-08-23|$750.00|REDUCED|$0.00|2000-08-30||
1610|Wicks Truck Trailers Inc|April|2000-05-10|2000-08-29|$750.00|REDUCED|$0.00|2000-09-11||
1611|Schneider-Sharples Corporation|March|2000-04-10|2000-08-28|$750.00|REDUCED|$0.00|2000-09-12||
1612|Nebraska Credit Union League|March|2000-04-10|2000-08-28|$750.00|REDUCED|$0.00|2000-09-11||
1614|Benefit Professionals Inc|August|2000-09-11|2000-09-13|$50.00|REDUCED|$0.00|2002-10-04||
1620|United Parcel Service Inc|June|2000-07-10|2000-09-13|$750.00|PAID|||2001-02-20|
1624|United Airlines|July|1999-07-10|2000-09-29|$300.00|PAID|||2000-09-29|
1625|Duda Company|May|2000-06-10|2000-09-21|$750.00|REDUCED|$0.00|2000-10-06||
1626|Fremont Area Service Club|June|2000-07-10|2000-09-26|$750.00|REDUCED|$0.00|2000-10-06||
1627|Ameritas Life Insurance Company|May|2000-06-10|2000-09-20|$750.00|PAID|||2000-10-13|
1628|UneMed Corporation|April|2000-05-10|2000-09-28|$750.00|PAID|||2000-10-30|
1629|Croker, Huck, Kasher, DeWitt, Anderson & Gonderinger|January|2000-09-11|2000-09-19|$200.00|REDUCED|$0.00|2000-10-06||
1630|Americans for Sound Public Policy|July|1998-08-10|2000-10-05|$300.00|PAID|||2000-10-20|
1631|Americans for Sound Public Policy|June|1998-07-10|2000-10-05|$300.00|PAID|||2000-10-20|
1632|Tracy Broadcasting Corporation|November|1999-12-10|2000-10-05|$750.00|REDUCED|$0.00|2000-10-06||
1634|Fraternal Order of Police Lodge #8|September|2000-10-10|2000-10-12|$50.00|PAID||||
1636|Anheuser Busch Companies|January|2000-10-10|2000-10-13|$75.00|PAID|||2000-10-23|
1637|Anheuser Busch Companies|January|2000-08-10|2000-10-13|$750.00|PAID|||2000-10-13|
1638|Union Pacific Railroad|May|2000-06-10|2000-09-11|$750.00|RED/PAID|$25.00|2000-10-13|2000-10-13|
1639|Fraternal Order of Police Lodge #8|January|2000-10-10|2000-10-12|$50.00|PAID|||2000-11-06|
1643|Northeast Nebraska Medical Association|September|2000-10-10|2000-10-16|$150.00|PAID|||2000-11-07|
1644|Nebraska Advocates for Justice|September|2000-10-10|2000-10-19|$225.00|PAID|||2000-12-01|
1645|Kinder Morgan, Inc.|May|2000-06-10|2000-10-20|$750.00|REDUCED|$0.00|2001-04-12|2001-04-12|
1646|Kinder Morgan, Inc.|June|2000-07-10|2000-10-20|$750.00|REDUCED|$0.00|2001-04-12||
1647|352, Inc.|September|2000-10-10|2000-10-20|$250.00|REDUCED|$0.00|2000-11-03||
1648|Valentine Dealer Services|September|2000-10-10|2000-10-23|$325.00|REDUCED|$0.00|2000-11-08||
1649|HGM Associates, Inc.|September|2000-10-10|2000-10-24|$350.00|REDUCED|$0.00|2000-11-30||
1650|Barkel Enterprises Inc.|September|2000-10-10|2000-10-25|$375.00|REDUCED|$0.00|2000-11-03||
1651|Liberty Title & Escrow, Inc.|September|2000-10-10|2000-11-07|$700.00|REDUCED|$0.00|2001-01-03||
1652|Lincoln Orthopedic & Sports Medicine Clinic, PC|September|2000-10-10|2000-11-09|$725.00|REDUCED|$0.00|2000-11-20||
1653|Sextro-Larsen Podiatry, PC|July|2000-08-10|2000-10-30|$750.00|REDUCED|$0.00|2000-11-20||
1654|Thomas Investment Co., Inc.|September|2000-10-10|2000-10-30|$500.00|REDUCED|$0.00|2000-11-20||
1655|Upland Construction Co.|August|2000-09-10|2000-10-30|$750.00|REDUCED|$0.00|2000-11-20||
1656|Insured Mortgage Equities, Inc.|October|2000-11-13|2000-11-21|$200.00|PAID|||2000-12-26|
1657|Kirkpatrick Pettis|October|2000-11-13|2000-11-16|$75.00|PAID|||2000-12-26|
1658|Lincoln Fire Fighter Association|January|2000-09-10|2000-11-16|$750.00|PAID|||2001-01-16|
1659|Lincoln Fire Fighter Association|January|2000-10-10|2000-11-16|$750.00|PAID|||2001-01-16|
1660|Lincoln Fire Fighter Association|January|2000-11-13|2000-11-16|$75.00|PAID|||2001-01-16|
1661|Asbestos Workers Local #39|October|2000-11-13|2000-11-22|$225.00|REDUCED|$0.00|2001-03-12||
1662|Nebraska Association of County Attorneys|October|2000-11-13|2000-11-22|$225.00|PAID|||2000-12-22|
1663|ASARCO, Incorporated|October|2000-11-13|2000-11-16|$75.00|REDUCED|$0.00|2001-01-03||
2106|J J Westhoff Construction Co.|April|2003-05-12|2003-05-16|$100.00|PAID|||2003-06-10|
1665|Commonwealth Electric Co.|August|2000-09-11|2000-12-11|$750.00|REDUCED|$0.00|2001-01-03||
1666|Corporate Express|October|2000-11-13|2000-12-15|$750.00|REDUCED|$0.00|2001-01-03||
1667|Cytogenetics Foundation|July|2000-08-10|2000-12-15|$750.00|REDUCED|$0.00|2001-01-03||
1668|Cytogenetics Foundation|September|2000-10-11|2000-12-15|$750.00|REDUCED|$0.00|2001-01-03||
1669|Health Care Suppliers, Inc.|November|2000-12-11|2000-12-18|$175.00|PAID|||2001-01-10|
1670|Icon Imaging, Incorporated|September|2000-10-10|2000-12-13|$750.00|REDUCED|$0.00|2001-01-03||
1671|King of Kings Lutheran Church|October|2000-11-13|2000-12-22|$750.00|REDUCED|$0.00|2001-01-03||
1673|Metro Community College Education Association|May|2000-06-12|2000-12-14|$750.00|REDUCED|$0.00|2001-01-03||
1674|Metro Community College Education Association|October|2000-11-13|2000-12-14|$750.00|REDUCED|$0.00|2001-01-03||
1676|Sherry's Hallmark|October|2000-11-13|2000-12-21|$750.00|REDUCED|$0.00|2001-01-03||
1677|Trinity Church Interdenominational|September|2000-10-11|2000-12-22|$750.00|REDUCED|$0.00|2001-01-03||
1678|Trinity Church Interdenominational|October|2000-11-13|2000-12-22|$750.00|REDUCED|$0.00|2001-01-03||
1679|Trinity Church Interdenominational|November|2000-12-11|2000-12-22|$275.00|REDUCED|$0.00|2001-01-03||
1680|Valmont Industries|January|2000-02-10|2000-12-18|$750.00|PAID|||2001-02-12|
1681|Association of Nebraska Community Agencies, Inc.|September|2000-10-10|2001-01-12|$750.00|REDUCED|$0.00|2001-02-12||
1682|Behlen Manufacturing Co.|January|2000-11-13|2001-01-22|$750.00|PAID|||2001-02-22|
1683|Behlen Manufacturing Co.|January|2001-01-10|2001-01-22|$300.00|PAID|||2001-02-26|
1684|Christ's Place|October|2000-11-13|2001-01-04|$750.00|REDUCED|$0.00|2001-02-12||
1685|Fraternal Order of Police Douglas County Lodge #2|February|2000-03-10|2001-01-17|$750.00|PAID|||2001-08-22|
1686|Insured Mortgage Equities, Inc.|September|2000-10-10|2001-01-04|$750.00|REDUCED|$0.00|2001-02-12||
1687|Americans for Sound Public Policy|November|2000-12-11|2001-01-16|$750.00|PAID|||2002-02-25|
1688|Commercial Flooring Systems, Inc.|December|2001-01-10|2001-01-17|$300.00|REDUCED|$0.00|2001-03-12||
1689|Burwell Baptist Church|October|2000-11-13|2000-12-27|$750.00|REDUCED|$0.00|2001-02-20||
1690|Congregation of Temple Israel|October|2000-11-13|2001-01-29|$750.00|REDUCED|$0.00|2001-02-21||
1691|First Christian Church|September|2000-10-10|2000-12-26|$750.00|REDUCED|$0.00|2001-02-20||
1692|Risen Son Baptist Church|October|2000-11-13|2000-12-26|$750.00|REDUCED|$0.00|2001-02-20||
1693|Screenwriters, Inc. dba Screenco|August|2000-09-11|2001-01-31|$750.00|REDUCED|$0.00|2001-03-12||
1694|NE Cable Communications Association|October|2000-11-13|2001-03-02|$750.00|REDUCED|$0.00|2001-03-12||
1695|PDM, Inc.|September|2000-10-10|2000-11-07|$700.00|RED/PAID|$25.00|2001-03-21|2001-03-21|
1696|Sprint|October|2000-11-13|2001-01-12|$750.00|REDUCED|$0.00|2001-03-12||
1697|Ash Grove Cement Company|December|2001-01-10|2001-02-28|$750.00|REDUCED|$0.00|2001-03-27||
1698|Subby Anzaldo Entertainment Agency|May|2000-06-12|2001-03-01|$750.00|REDUCED|$0.00|2001-03-27||
1699|Bellevue Keno, Inc.|December|2001-01-10|2001-02-27|$750.00|REDUCED|$0.00|2001-03-27||
1700|Continental Fire Sprinkler Company|January|2001-02-12|2001-03-15|$750.00|REDUCED|$0.00|2001-03-27||
1701|DLR Group, Inc.|November|2000-12-11|2001-03-12|$750.00|PAID|||2001-04-11|
1702|Douglas Theatre Co.|April|2000-05-10|2001-03-01|$750.00|REDUCED|$0.00|2001-03-28||
1703|East Construction, Inc.|September|2000-10-10|2001-03-05|$750.00|REDUCED|$0.00|2001-03-28||
1704|The Fairmont Group, Inc.|July|2000-08-10|2001-03-01|$750.00|REDUCED|$0.00|2001-03-28||
1705|HDM Corporation|December|2001-01-10|2001-03-01|$750.00|RED/PAID|$25.00|2001-04-04|2001-04-04|
1706|HallMarq Construction, Inc|December|2001-01-10|2001-02-28|$750.00|REDUCED|$0.00|2001-03-28||
